2026-09-15 05:51:04,035 [ERROR] - All embedding models failed. Last error: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.
2026-09-15 05:51:04,088 [WARNING] - Embedding model text-embedding-004 failed: 404 models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:04,103 [WARNING] - Embedding model text-embedding-004 failed: 404 models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:04,125 [WARNING] - Embedding model text-embedding-004 failed: 404 models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:04,173 [WARNING] - Embedding model models/embedding-001 failed: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:04,173 [ERROR] - All embedding models failed. Last error: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.
2026-09-15 05:51:04,182 [WARNING] - Embedding model models/embedding-001 failed: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:04,182 [ERROR] - All embedding models failed. Last error: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.
2026-09-15 05:51:04,206 [WARNING] - Embedding model models/embedding-001 failed: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:04,206 [ERROR] - All embedding models failed. Last error: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.
2026-09-15 05:51:04,251 [WARNING] - Embedding model text-embedding-004 failed: 404 models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:04,255 [WARNING] - Embedding model text-embedding-004 failed: 404 models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:04,321 [WARNING] - Embedding model models/embedding-001 failed: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:04,321 [ERROR] - All embedding models failed. Last error: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.
2026-09-15 05:51:04,331 [WARNING] - Embedding model models/embedding-001 failed: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:04,331 [ERROR] - All embedding models failed. Last error: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.
2026-09-15 05:51:04,663 [WARNING] - Embedding model models/embedding-001 failed: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:04,663 [ERROR] - All embedding models failed. Last error: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.
2026-09-15 05:51:04,727 [WARNING] - Embedding model text-embedding-004 failed: 404 models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:04,812 [WARNING] - Embedding model models/embedding-001 failed: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:04,812 [ERROR] - All embedding models failed. Last error: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.
2026-09-15 05:51:04,899 [WARNING] - Embedding model text-embedding-004 failed: 404 models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:04,953 [WARNING] - Embedding model models/embedding-001 failed: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:04,953 [ERROR] - All embedding models failed. Last error: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.
2026-09-15 05:51:05,047 [WARNING] - Embedding model text-embedding-004 failed: 404 models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:05,100 [WARNING] - Embedding model models/embedding-001 failed: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:05,100 [ERROR] - All embedding models failed. Last error: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.
2026-09-15 05:51:25,462 [INFO] - Successfully analyzed item '介入目的'.
2026-09-15 05:51:25,567 [WARNING] - Embedding model text-embedding-004 failed: 404 models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:25,628 [WARNING] - Embedding model models/embedding-001 failed: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:25,628 [ERROR] - All embedding models failed. Last error: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.
2026-09-15 05:51:25,729 [WARNING] - Embedding model text-embedding-004 failed: 404 models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:25,779 [WARNING] - Embedding model models/embedding-001 failed: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:25,780 [ERROR] - All embedding models failed. Last error: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.
2026-09-15 05:51:25,875 [WARNING] - Embedding model text-embedding-004 failed: 404 models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:25,964 [WARNING] - Embedding model models/embedding-001 failed: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:25,964 [ERROR] - All embedding models failed. Last error: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.
2026-09-15 05:51:26,051 [WARNING] - Embedding model text-embedding-004 failed: 404 models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:26,105 [WARNING] - Embedding model models/embedding-001 failed: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:26,105 [ERROR] - All embedding models failed. Last error: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.
2026-09-15 05:51:26,187 [WARNING] - Embedding model text-embedding-004 failed: 404 models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:26,236 [WARNING] - Embedding model models/embedding-001 failed: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:26,236 [ERROR] - All embedding models failed. Last error: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.
2026-09-15 05:51:26,331 [WARNING] - Embedding model text-embedding-004 failed: 404 models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
2026-09-15 05:51:26,384 [WARNING] - Embedding model models/embedding-001 failed: 404 models/embedding-001 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Trying next model.
